9710004	C0334799	dibujante eléctrico
43852004	C0334800	dibujante de ingeniería civil
75611004	C0334802	dibujante cartográfico
73066004	C0334803	dibujante técnico
17729001	C0334804	litógrafo
63622001	C0334805	otros dibujantes
106272005	C0334806	técnico en ingeniería civil
86063006	C0334806	técnico en ingeniería civil (general)
86063006	C0334806	técnico en ingeniería civil (general) (concepto no activo)
20923008	C0334808	trabajador a cargo del cálculo de los materiales en las construcciones
24497003	C0334809	técnico agrimensor
76579009	C0334810	empleado de fábrica
76579009	C0334810	empleado de taller
112244005	C0334811	otro técnico en ingeniería civil
112244005	C0334811	otros técnicos en ingeniería civil
106273000	C0334812	técnico especialista en ingeniería eléctrica Y/O electrónica
48267009	C0334813	técnico especialista en ingeniería eléctrica, general
48267009	C0334813	técnico especialista en ingeniería eléctrica (general)
112245006	C0334814	técnico especialista en ingeniería electrónica (general)
38816003	C0334815	técnico especialista en ingeniería eléctrica (alta tensión)
74557001	C0334816	técnico especialista en telecomunicaciones
15894006	C0334817	otros técnicos especialistas en ingeniería eléctrica y electrónica
106274006	C0334818	técnico especialista en ingeniería mecánica
57909007	C0334819	técnico especialista en ingeniería mecánica (general)
10963008	C0334820	técnico especialista en ingeniería mecánica (motores)
18158009	C0334821	técnico especialista en ingeniería aeronáutica
34559006	C0334822	técnico especialista en ingeniería automotriz
63367003	C0334823	técnico especialista en ingeniería de calefacción, ventilación y refrigeración
85443004	C0334824	otros técnicos especialistas en ingeniería mecánica
106275007	C0334825	técnico especialista en ingeniería química
89960008	C0334826	técnico especialista en ingeniería química (general)
73746002	C0334827	técnico especialista en ingeniería química (petróleo)
3436002	C0334828	otros técnicos especialistas en ingeniería química
106276008	C0334829	técnico metalúrgico
9314006	C0334830	técnico especialista en metalurgia de extracción
47997005	C0334831	técnico especialista en metalurgia física
45143007	C0334832	otros técnicos metalúrgicos
106277004	C0334833	técnico especialista en minería
4543000	C0334834	técnico especialista en minería (general)
15299007	C0334835	técnico especialista en extracción de petróleo y gas natural
69382003	C0334836	otro técnico especialista en minería
69382003	C0334836	otros técnicos especialistas en minería
44353009	C0334838	técnico especialista en ingeniería de la producción
48827004	C0334839	técnico especialista en el estudio del tiempo y movimiento
49095007	C0334840	otro técnico especialistas en ingeniería
49095007	C0334840	otros técnicos especialistas en ingeniería
106279001	C0334841	oficial de la fuerza aérea Y/O naval
106279001	C0334841	oficial de la Fuerza Aérea Y/O Naval
106280003	C0334842	piloto aeronáutico, navegante Y/O ingeniero de vuelo
106280003	C0334842	piloto aeronáutico, navegante Y/O mecánico de vuelo
106280003	C0334842	piloto aeronáutico, navegante y/o mecánico de a bordo
84776006	C0334843	piloto de transporte aéreo
5044006	C0334844	piloto aeronáutico (excepto de transporte)
85386003	C0334845	navegador de vuelo
58210008	C0334846	mecánico de vuelo
58210008	C0334846	mecánico de a bordo
